N	Number	IDs	STRAIN	CULTURE_COLLECTION	ISOLATE	GENOTYPE	PLASMID	METAGENOME?	COMPLETENESS_ESTIMATED	CONTAMINATION_ESTIMATED	COLLECTED_BY	COLLECTION_DATE	COUNTRY (mixed up)	LAT_LON	HOST	HOST_SEX	HOST_AGE	ISOLATION_SOURCE	HOST_DISEASE	HOST_DISEASE_OUTCOME	ANTIBIOTICS	Bio Project	Pubmed	Length (T)	Complete?	Coverage	Seq Method	GCpercent	Length	Number of sequences	COUNTRY	CITY(or similar)	REGION/STATE	HOSPITAL	Comentario	Pub. Year	Proteins_Prokka	Isolation source2	ISOLATION_SOURCE_RECOD	HOST_DISEASE_RECOD	Isol Source 3	Isol Source 4	NEW_HOSPITAL	whyDeleted	whyDeleted2	Group	CRISPR_cluster	CRISPR_arrays
1400	ab01400	GCA_001666075.1_ASM166607v1	CCF30								Sandra Richter	2015	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		5886	NO		Illumina NextSeq 500	38.8203021339585	3911510	125	USA						3703		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1401	ab01401	GCA_001666085.1_ASM166608v1	CCF31								Sandra Richter	2015	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		1771	NO		Illumina NextSeq 500	38.8860473944041	3867292	122	USA						3636		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		0
1402	ab01402	GCA_001666105.1_ASM166610v1	CCF43								Sandra Richter	2015	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		755	NO		Illumina NextSeq 500	38.8505184134504	3883194	128	USA						3654		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1403	ab01403	GCA_001666145.1_ASM166614v1	CCF44								Sandra Richter	2013	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		6700	NO		Illumina NextSeq 500	38.8642034021937	3860568	115	USA						3633		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1404	ab01404	GCA_001666155.1_ASM166615v1	CCF45								Sandra Richter	2015	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		64816	NO		Illumina NextSeq 500	38.9639955215551	3803999	113	USA						3555		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1405	ab01405	GCA_001666175.1_ASM166617v1	CCF48								Sandra Richter	2012	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		700	NO		Illumina NextSeq 500	38.9585999659177	4002074	120	USA						3785		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1406	ab01406	GCA_001666195.1_ASM166619v1	CCF49								Sandra Richter	2012	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		1407	NO		Illumina NextSeq 500	38.9751350446439	4205276	100	USA						4026		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1407	ab01407	GCA_001666225.1_ASM166622v1	CCF50								Sandra Richter	2012	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		204259	NO		Illumina NextSeq 500	38.8800603953486	3785722	64	USA						3525		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1		4
1408	ab01408	GCA_001666235.1_ASM166623v1	CCF51								Sandra Richter	2013	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		6658	NO		Illumina NextSeq 500	38.8735254154943	3857273	122	USA						3629		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1409	ab01409	GCA_001666255.1_ASM166625v1	CCF54								Sandra Richter	2015	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		5958	NO		Illumina NextSeq 500	38.8583070270734	3868851	117	USA						3631		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1410	ab01410	GCA_001666275.1_ASM166627v1	CCF55								Sandra Richter	2015	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		34269	NO		Illumina NextSeq 500	38.8674764955401	3875222	125	USA						3642		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1411	ab01411	GCA_001666305.1_ASM166630v1	CCF26								Sandra Richter	2014	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		4043	NO		Illumina NextSeq 500	38.8636639528204	3879979	118	USA						3646		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1412	ab01412	GCA_001666315.1_ASM166631v1	CCF32								Sandra Richter	2015	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		156685	NO		Illumina NextSeq 500	38.8799627509352	3835801	117	USA						3600		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1413	ab01413	GCA_001666325.1_ASM166632v1	CCF47								Sandra Richter	2013	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		9545	NO		Illumina NextSeq 500	39.0372847831517	3971808	156	USA						3793		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1414	ab01414	GCA_001666365.1_ASM166636v1	CCF52								Sandra Richter	2013	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		20830	NO		Illumina NextSeq 500	38.8111373492209	3981486	102	USA						3751		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group1		5
1415	ab01415	GCA_001666385.1_ASM166638v1	CCF53								Sandra Richter	2015	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		64816	NO		Illumina NextSeq 500	38.9674461939437	3973391	132	USA						3768		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		2
1416	ab01416	GCA_001666395.1_ASM166639v1	CCF57								Sandra Richter	2014	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		59224	NO		Illumina NextSeq 500	38.8858516112518	3824697	118	USA						3584		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1417	ab01417	GCA_001666405.1_ASM166640v1	CCF58								Sandra Richter	2015	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		86120	NO		Illumina NextSeq 500	38.8563616676949	3872483	125	USA						3638		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1418	ab01418	GCA_001666425.1_ASM166642v1	CCF59								Sandra Richter	2015	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		2062	NO		Illumina NextSeq 500	38.9719697096831	3992431	129	USA						3782		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1419	ab01419	GCA_001666465.1_ASM166646v1	CCF60								Sandra Richter	2015	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		73532	NO		Illumina NextSeq 500	38.859324857853	3880842	118	USA						3652		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1420	ab01420	GCA_001666475.1_ASM166647v1	CCF62								Sandra Richter	2014	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		825	NO		Illumina NextSeq 500	39.009444365277	4049081	77	USA						3831		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1421	ab01421	GCA_001666485.1_ASM166648v1	CCF63								Sandra Richter	2015	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		879	NO		Illumina NextSeq 500	38.883594762737	3850179	125	USA						3620		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1422	ab01422	GCA_001666515.1_ASM166651v1	CCF64								Sandra Richter	2015	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		10077	NO		Illumina NextSeq 500	38.8685148570068	3873122	135	USA						3643		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1423	ab01423	GCA_001666545.1_ASM166654v1	CCF66								Sandra Richter	2015	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		1099	NO		Illumina NextSeq 500	38.8943821454646	3873436	120	USA						3649		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1424	ab01424	GCA_001666555.1_ASM166655v1	CCF65								Sandra Richter	2015	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		9061	NO		Illumina NextSeq 500	38.8663657782936	3880952	123	USA						3653		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		0
1425	ab01425	GCA_001666565.1_ASM166656v1	CCF68								Sandra Richter	2014	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		12820	NO		Illumina NextSeq 500	38.8448567788153	3866118	110	USA						3643		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1426	ab01426	GCA_001666575.1_ASM166657v1	CCF67								Sandra Richter	2013	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		52834	NO		Illumina NextSeq 500	38.8710788510735	3872972	115	USA						3641		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1427	ab01427	GCA_001666625.1_ASM166662v1	CCF69								Sandra Richter	2015	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		1039	NO		Illumina NextSeq 500	38.8653638093135	3875533	119	USA						3646		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1428	ab01428	GCA_001666635.1_ASM166663v1	CCF70								Sandra Richter	2013	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		12940	NO		Illumina NextSeq 500	38.8665999027921	3880342	115	USA						3649		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1429	ab01429	GCA_001666645.1_ASM166664v1	CCF72								Sandra Richter	2013	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		227219	NO	192	Illumina NextSeq 500	38.8733701213179	3879890	126	USA						3648		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1430	ab01430	GCA_001666665.1_ASM166666v1	CCF73								Sandra Richter	2013	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		1230	NO		Illumina NextSeq 500	38.9986888346572	4227537	99	USA						4048		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1431	ab01431	GCA_001666705.1_ASM166670v1	CCF74								Sandra Richter	2013	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		3828	NO		Illumina NextSeq 500	39.0595874582808	3974192	166	USA						3797		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1432	ab01432	GCA_001666715.1_ASM166671v1	CCF75								Sandra Richter	2013	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA316619		1216	NO		Illumina NextSeq 500	38.9694030210295	4005853	124	USA						3793		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1433	ab01433	GCA_001668445.1_ASM166844v1	ABUH714								JCVI	2014	USA	40.5 N 82.5 W	Homo sapiens				urinary tract infection			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		290726	NO		Illumina NextSeq 500	38.8422275241336	3863177	138	USA						3632		Desconocido	ITU	Urinary	Urinary tract		A. baumannii	A. baumannii	group2		1
1434	ab01434	GCA_001668465.1_ASM166846v1	ABUH773								JCVI	2015	USA	40.5 N 82.5 W	Homo sapiens				urinary tract infection			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		63225	NO		Illumina NextSeq 500	38.9244983605304	3765852	150	USA						3507		Desconocido	ITU	Urinary	Urinary tract		A. baumannii	A. baumannii	group2		1
1435	ab01435	GCA_001668475.1_ASM166847v1	ABUH726								JCVI	2014	USA	40.5 N 82.5 W	Homo sapiens				pneumoniae			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		77746	NO		Illumina NextSeq 500	38.8774849336874	3844670	119	USA						3603		Desconocido	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
1436	ab01436	GCA_001668515.1_ASM166851v1	ABUH721								JCVI	2014	USA	40.5 N 82.5 W	Homo sapiens				pneumoniae			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		50460	NO		Illumina NextSeq 500	38.9540519351556	3798506	109	USA						3544		Desconocido	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
1437	ab01437	GCA_001668535.1_ASM166853v1	ABUH744								JCVI	2014	USA	40.5 N 82.5 W	Homo sapiens				skin infection			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		112301	NO		Illumina NextSeq 500	38.8361803526454	3868022	142	USA						3633		Desconocido	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues		A. baumannii	A. baumannii	group2		0
1438	ab01438	GCA_001668555.1_ASM166855v1	ABUH756								JCVI	2015	USA	40.5 N 82.5 W	Homo sapiens				skin infection			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		10029	NO		Illumina NextSeq 500	38.8481624850583	3874227	122	USA						3642		Desconocido	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues		A. baumannii	A. baumannii	group2		1
1439	ab01439	GCA_001668585.1_ASM166858v1	ABUH801								JCVI	2015	USA	40.5 N 82.5 W	Homo sapiens				skin infection			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		102695	NO		Illumina NextSeq 500	38.9524935058486	3785714	150	USA						3517		Desconocido	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues		A. baumannii	A. baumannii	group2		2
1440	ab01440	GCA_001668645.1_ASM166864v1	ABUH724								JCVI	2014	USA	40.5 N 82.5 W	Homo sapiens				skin infection			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		820	NO		Illumina NextSeq 500	38.9752984664436	3758714	116	USA						3508		Desconocido	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues		A. baumannii	A. baumannii	group1		2
1441	ab01441	GCA_001668755.1_ASM166875v1	ABUH720								JCVI	2014	USA	40.5 N 82.5 W	Homo sapiens				pneumoniae			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		1185	NO		Illumina NextSeq 500	38.8410120543026	3865010	112	USA						3643		Desconocido	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		2
1442	ab01442	GCA_001668765.1_ASM166876v1	ABUH713								JCVI	2014	USA	40.5 N 82.5 W	Homo sapiens				bloodstream infection			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		99240	NO		Illumina NextSeq 500	38.8402304909598	3866182	114	USA						3648		Desconocido	Bacteriemia	Bacteremia	Blood		A. baumannii	A. baumannii	group2		0
1443	ab01443	GCA_001668775.1_ASM166877v1	ABUH750								JCVI	2014	USA	40.5 N 82.5 W	Homo sapiens				pneumoniae			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		9056	NO		Illumina NextSeq 500	38.842995927014	3868906	124	USA						3638		Desconocido	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
1444	ab01444	GCA_001668815.1_ASM166881v1	ABUH738								JCVI	2014	USA	40.5 N 82.5 W	Homo sapiens				skin infection			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		3008	NO		Illumina NextSeq 500	38.8132445368266	3939194	126	USA						3727		Desconocido	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues		A. baumannii	A. baumannii	group2		1
1445	ab01445	GCA_001668835.1_ASM166883v1	ABUH731								JCVI	2014	USA	40.5 N 82.5 W	Homo sapiens							https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		53832	NO		Illumina NextSeq 500	38.950435675066	3798014	108	USA						3536		Desconocido	Desconocido		Others		A. baumannii	A. baumannii	group2		1
1446	ab01446	GCA_001668855.1_ASM166885v1	ABUH782								JCVI	2015	USA	40.5 N 82.5 W	Homo sapiens				skin infection			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		145680	NO		Illumina NextSeq 500	38.9454920387523	3956101	166	USA						3733		Desconocido	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues		A. baumannii	A. baumannii	group2		1
1447	ab01447	GCA_001668865.1_ASM166886v1	ABUH695								JCVI	2014	USA	40.5 N 82.5 W	Homo sapiens				pneumoniae			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		977	NO		Illumina NextSeq 500	38.8558184318267	3871868	123	USA						3645		Desconocido	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		0
1448	ab01448	GCA_001668875.1_ASM166887v1	ABUH792								JCVI	2015	USA	40.5 N 82.5 W	Homo sapiens				urinary tract infection			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		30780	NO		Illumina NextSeq 500	38.7353725754953	4005148	155	USA						3812		Desconocido	ITU	Urinary	Urinary tract		A. baumannii	A. baumannii	group1		4
1449	ab01449	GCA_001668915.1_ASM166891v1	ABUH767								JCVI	2015	USA	40.5 N 82.5 W	Homo sapiens				urinary tract infection			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		46720	NO		Illumina NextSeq 500	38.8459437418286	3862550	169	USA						3622		Desconocido	ITU	Urinary	Urinary tract		A. baumannii	A. baumannii	group2		1
1450	ab01450	GCA_001668935.1_ASM166893v1	ABUH775								JCVI	2015	USA	40.5 N 82.5 W	Homo sapiens				urinary tract infection			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		117685	NO		Illumina NextSeq 500	38.8419265698786	3860187	174	USA						3621		Desconocido	ITU	Urinary	Urinary tract		A. baumannii	A. baumannii	group2		2
1451	ab01451	GCA_001668945.1_ASM166894v1	ABUH736								JCVI	2014	USA	40.5 N 82.5 W	Homo sapiens				pneumoniae			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		172496	NO		Illumina NextSeq 500	38.7926214058125	3934408	130	USA						3731		Desconocido	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
1452	ab01452	GCA_001668955.1_ASM166895v1	ABUH813								JCVI	2016	USA	40.5 N 82.5 W	Homo sapiens				pneumoniae			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		175152	NO		Illumina NextSeq 500	38.86120578518	3831860	174	USA						3594		Desconocido	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
1453	ab01453	GCA_001668995.1_ASM166899v1	ABUH716								JCVI	2014	USA	40.5 N 82.5 W	Homo sapiens				pneumoniae			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		10029	NO		Illumina NextSeq 500	38.8507674421966	3874168	122	USA						3644		Desconocido	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
1454	ab01454	GCA_001669005.1_ASM166900v1	ABUH719								JCVI	2014	USA	40.5 N 82.5 W	Homo sapiens				pneumoniae			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		1019	NO		Illumina NextSeq 500	38.9542806679455	3977989	122	USA						3770		Desconocido	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
1455	ab01455	GCA_001669025.1_ASM166902v1	ABUH770								JCVI	2015	USA	40.5 N 82.5 W	Homo sapiens				pneumoniae			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		22714	NO		Illumina NextSeq 500	38.8422181186622	3806451	171	USA						3581		Desconocido	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
1456	ab01456	GCA_001669035.1_ASM166903v1	ABUH730								JCVI	2014	USA	40.5 N 82.5 W	Homo sapiens				pneumoniae			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		62778	NO		Illumina NextSeq 500	39.0003020409187	3827296	109	USA						3574		Desconocido	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
1457	ab01457	GCA_001669075.1_ASM166907v1	ABUH771								JCVI	2015	USA	40.5 N 82.5 W	Homo sapiens				pneumoniae			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		106960	NO		Illumina NextSeq 500	39.0047487344875	3938523	139	USA						3700		Desconocido	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
1458	ab01458	GCA_001669095.1_ASM166909v1	ABUH781								JCVI	2015	USA	40.5 N 82.5 W	Homo sapiens				pneumoniae			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		91419	NO		Illumina NextSeq 500	38.9414474699141	3792065	167	USA						3523		Desconocido	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
1459	ab01459	GCA_001669105.1_ASM166910v1	ABUH787								JCVI	2015	USA	40.5 N 82.5 W	Homo sapiens				pneumoniae			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		2595	NO		Illumina NextSeq 500	39.0268677941998	3878733	143	USA						3636		Desconocido	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		2
1460	ab01460	GCA_001669115.1_ASM166911v1	ABUH791								JCVI	2015	USA	40.5 N 82.5 W	Homo sapiens				pneumoniae			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		30300	NO		Illumina NextSeq 500	39.0268928129056	3876017	155	USA						3633		Desconocido	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
1461	ab01461	GCA_001669145.1_ASM166914v1	ABUH793								JCVI	2015	USA	40.5 N 82.5 W	Homo sapiens				pneumoniae			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		2528	NO		Illumina NextSeq 500	38.9664724654333	3989676	125	USA						3785		Desconocido	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
1462	ab01462	GCA_001669175.1_ASM166917v1	ABUH806								JCVI	2016	USA	40.5 N 82.5 W	Homo sapiens				pneumoniae			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		15443	NO		Illumina NextSeq 500	38.8495134943265	3865217	150	USA						3633		Desconocido	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
1463	ab01463	GCA_001669185.1_ASM166918v1	ABUH768								JCVI	2015	USA	40.5 N 82.5 W	Homo sapiens				skin infection			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		235572	NO		Illumina NextSeq 500	38.7972892746204	3872469	126	USA						3637		Desconocido	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues		A. baumannii	A. baumannii	group2		1
1464	ab01464	GCA_001669195.1_ASM166919v1	ABUH785								JCVI	2015	USA	40.5 N 82.5 W	Homo sapiens				skin infection			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		26320	NO		Illumina NextSeq 500	38.8472595022699	3862656	165	USA						3630		Desconocido	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues		A. baumannii	A. baumannii	group2		2
1465	ab01465	GCA_001669225.1_ASM166922v1	ABUH715								JCVI	2014	USA	40.5 N 82.5 W	Homo sapiens				skin infection			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		179647	NO		Illumina NextSeq 500	38.8665189045104	3825066	107	USA						3594		Desconocido	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues		A. baumannii	A. baumannii	group2		1
1466	ab01466	GCA_001669255.1_ASM166925v1	ABUH717								JCVI	2014	USA	40.5 N 82.5 W	Homo sapiens				skin infection			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		5250	NO		Illumina NextSeq 500	38.8566191932136	3837794	111	USA						3606		Desconocido	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues		A. baumannii	A. baumannii	group2		1
1467	ab01467	GCA_001669265.1_ASM166926v1	ABUH740								JCVI	2014	USA	40.5 N 82.5 W	Homo sapiens				skin infection			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		1041	NO		Illumina NextSeq 500	38.8460601015635	3873044	129	USA						3643		Desconocido	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues		A. baumannii	A. baumannii	group2		0
1468	ab01468	GCA_001669295.1_ASM166929v1	ABUH776								JCVI	2015	USA	40.5 N 82.5 W	Homo sapiens				skin infection			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		45560	NO		Illumina NextSeq 500	38.8422737062041	3859496	172	USA						3619		Desconocido	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues		A. baumannii	A. baumannii	group2		0
1469	ab01469	GCA_001669305.1_ASM166930v1	ABUH747								JCVI	2014	USA	40.5 N 82.5 W	Homo sapiens				skin infection			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		120404	NO		Illumina NextSeq 500	39.005130973727	3730481	110	USA						3475		Desconocido	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues		A. baumannii	A. baumannii	group1		1
1470	ab01470	GCA_001669355.1_ASM166935v1	ABUH722								JCVI	2014	USA	40.5 N 82.5 W	Homo sapiens				bloodstream infection			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		50144	NO		Illumina NextSeq 500	38.9181178737849	4103423	104	USA						3893		Desconocido	Bacteriemia	Bacteremia	Blood		A. baumannii	A. baumannii	group2		2
1471	ab01471	GCA_001669365.1_ASM166936v1	ABUH702								JCVI	2014	USA	40.5 N 82.5 W	Homo sapiens				bloodstream infection			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		31218	NO		Illumina NextSeq 500	38.9498892666604	3752709	119	USA						3492		Desconocido	Bacteriemia	Bacteremia	Blood		A. baumannii	A. baumannii	group1		1
1472	ab01472	GCA_001669415.1_ASM166941v1	ABUH759								JCVI	2015	USA	40.5 N 82.5 W	Homo sapiens				bloodstream infection			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		290724	NO		Illumina NextSeq 500	38.9560746198464	3986875	119	USA						3783		Desconocido	Bacteriemia	Bacteremia	Blood		A. baumannii	A. baumannii	group2		1
1473	ab01473	GCA_001669425.1_ASM166942v1	ABUH746								JCVI	2014	USA	40.5 N 82.5 W	Homo sapiens				pneumoniae			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		125693	NO		Illumina NextSeq 500	38.9134987587983	3818477	113	USA						3578		Desconocido	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
1474	ab01474	GCA_001669435.1_ASM166943v1	ABUH760								JCVI	2015	USA	40.5 N 82.5 W	Homo sapiens				pneumoniae			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA271775		2088	NO		Illumina NextSeq 500	38.8454715889904	3864435	158	USA						3624		Desconocido	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
